id,Player,team,Mat,Overs,Runs,Wkts,Strike rate,.
102,Sohail Tanvir,Rajasthan Royals,11,41.1,266,22,11.2,
38,SK Warne,Rajasthan Royals,15,52,404,19,16.4,
77,S Sreesanth,Kings XI Punjab,15,51.1,442,19,16.1,
32,SR Watson,Rajasthan Royals,15,54.1,383,17,19.1,
67,PP Chawla,Kings XI Punjab,15,46.5,389,17,16.5,
109,JA Morkel,Chennai Super Kings,13,48,399,17,16.9,
120,MS Gony,Chennai Super Kings,16,60,443,17,21.1,
91,VY Mahesh,Delhi Daredevils,11,42.1,370,16,15.8,
90,MF Maharoof,Delhi Daredevils,10,36,249,15,14.4,
29,IK Pathan,Kings XI Punjab,14,53,350,15,21.2,
61,RP Singh,Deccan Chargers,14,51.2,442,15,20.5,
126,MM Patel,Rajasthan Royals,15,55,420,14,23.5,
15,Z Khan,Royal Challengers Bangalore,11,42,357,13,19.3,
39,SK Trivedi,Rajasthan Royals,15,48,399,13,22.1,
105,Umar Gul,Kolkata Knight Riders,6,22.3,184,12,11.2,
73,A Nehra,Mumbai Indians,14,44.5,348,12,22.4,
118,GD McGrath,Delhi Daredevils,14,54,357,12,27,
136,A Mishra,Delhi Daredevils,6,20,138,11,10.9,
71,DJ Bravo,Mumbai Indians,9,28.2,232,11,15.4,
80,DS Kulkarni,Mumbai Indians,10,29.3,236,11,16,
131,PP Ojha,Deccan Chargers,13,37,284,11,20.1,
151,L Balaji,Chennai Super Kings,9,33,286,11,18,
49,SM Pollock,Mumbai Indians,13,46,301,11,25,
14,P Kumar,Royal Challengers Bangalore,13,44.4,366,11,24.3,
121,M Muralitharan,Chennai Super Kings,15,58,404,11,31.6,
78,VRV Singh,Kings XI Punjab,13,48,420,11,26.1,
149,CRD Fernando,Mumbai Indians,5,20,160,10,12,
94,DW Steyn,Royal Challengers Bangalore,10,38,252,10,22.8,
70,Shahid Afridi,Deccan Chargers,10,30,225,9,20,
106,AB Dinda,Kolkata Knight Riders,13,39,260,9,26,
82,AB Agarkar,Kolkata Knight Riders,9,26,207,8,19.5,
31,YK Pathan,Rajasthan Royals,16,28.1,230,8,21.1,
119,Joginder Sharma,Chennai Super Kings,8,24.4,239,8,18.5,
117,Mohammad Asif,Delhi Daredevils,8,32,296,8,24,
435,P Amarnath,Chennai Super Kings,6,22,236,7,18.8,
122,M Ntini,Chennai Super Kings,9,35,242,7,30,
25,JR Hopes,Kings XI Punjab,11,28,276,7,24,
124,A Kumble,Royal Challengers Bangalore,10,38.2,304,7,32.8,
84,I Sharma,Kolkata Knight Riders,13,42.1,329,7,36.1,
63,LR Shukla,Kolkata Knight Riders,13,12,124,6,12,
1,SC Ganguly,Kolkata Knight Riders,13,20,128,6,20,
89,R Bhatia,Delhi Daredevils,9,22,183,6,22,
144,Shoaib Akhtar,Kolkata Knight Riders,3,7,54,5,8.4,
50,Harbhajan Singh,Mumbai Indians,3,10,82,5,12,
147,DR Smith,Mumbai Indians,4,11,83,5,13.2,
115,RR Raje,Mumbai Indians,6,16.2,137,5,19.6,
60,WPUJC Vaas,Deccan Chargers,5,17,145,5,20.4,
81,R Vinay Kumar,Royal Challengers Bangalore,8,23,182,5,27.6,
116,PJ Sangwan,Delhi Daredevils,7,24,215,5,28.8,
