id,Runs,Wkts,Ave,.
102,266,22,12.09,
38,404,19,21.26,
77,442,19,23.26,
32,383,17,22.52,
67,389,17,22.88,
109,399,17,23.47,
120,443,17,26.05,
91,370,16,23.12,
90,249,15,16.6,
29,350,15,23.33,
61,442,15,29.46,
126,420,14,30,
15,357,13,27.46,
39,399,13,30.69,
105,184,12,15.33,
73,348,12,29,
118,357,12,29.75,
136,138,11,12.54,
71,232,11,21.09,
80,236,11,21.45,
131,284,11,25.81,
151,286,11,26,
49,301,11,27.36,
14,366,11,33.27,
121,404,11,36.72,
78,420,11,38.18,
149,160,10,16,
94,252,10,25.2,
70,225,9,25,
106,260,9,28.88,
82,207,8,25.87,
31,230,8,28.75,
119,239,8,29.87,
117,296,8,37,
435,236,7,33.71,
122,242,7,34.57,
25,276,7,39.42,
124,304,7,43.42,
84,329,7,47,
63,124,6,20.66,
1,128,6,21.33,
89,183,6,30.5,
144,54,5,10.8,
50,82,5,16.4,
147,83,5,16.6,
115,137,5,27.4,
60,145,5,29,
81,182,5,36.4,
116,215,5,43,
