Match_Id,Team,.
335987,Royal Challengers Bangalore,
335987,Kolkata Knight Riders,
335988,Kings XI punjab,
335988,Chennai Super Kings,
335989,Delhi Daredevils,
335989,Rajasthan Royals,
335990,Mumbai Indians,
335990,Royal Challengers Bangalore,
335991,Kolkata Knight Riders,
335991,Deccan Chargers,
335992,Rajasthan Royals,
335992,Kings XI punjab,
335993,Deccan Chargers,
335993,Delhi Daredevils,
335994,Chennai Super Kings,
335994,Mumbai Indians,
335995,Deccan Chargers,
335995,Rajasthan Royals,
335996,Kings XI punjab,
335996,Mumbai Indians,
335997,Royal Challengers Bangalore,
335997,Rajasthan Royals,
335998,Chennai Super Kings,
335998,Kolkata Knight Riders,
335999,Mumbai Indians,
335999,Deccan Chargers,
336000,Kings XI punjab,
336000,Delhi Daredevils,
336001,Royal Challengers Bangalore,
336001,Chennai Super Kings,
336002,Kolkata Knight Riders,
336002,Mumbai Indians,
336003,Delhi Daredevils,
336003,Royal Challengers Bangalore,
336004,Deccan Chargers,
336004,Kings XI punjab,
336005,Rajasthan Royals,
336005,Kolkata Knight Riders,
336006,Chennai Super Kings,
336006,Delhi Daredevils,
336007,Deccan Chargers,
336007,Royal Challengers Bangalore,
336008,Kings XI punjab,
336008,Kolkata Knight Riders,
336009,Mumbai Indians,
336009,Delhi Daredevils,
336010,Rajasthan Royals,
336010,Chennai Super Kings,
336011,Royal Challengers Bangalore,
336011,Kings XI punjab,
336012,Chennai Super Kings,
336012,Deccan Chargers,
336013,Mumbai Indians,
336013,Rajasthan Royals,
336014,Delhi Daredevils,
336014,Chennai Super Kings,
336015,Kolkata Knight Riders,
336015,Royal Challengers Bangalore,
336016,Rajasthan Royals,
336016,Deccan Chargers,
336017,Royal Challengers Bangalore,
336017,Mumbai Indians,
336018,Chennai Super Kings,
336018,Kings XI punjab,
336019,Deccan Chargers,
336019,Kolkata Knight Riders,
336020,Rajasthan Royals,
336020,Delhi Daredevils,
336021,Kings XI punjab,
336021,Royal Challengers Bangalore,
336022,Kolkata Knight Riders,
336022,Delhi Daredevils,
336023,Mumbai Indians,
336023,Chennai Super Kings,
336024,Kings XI punjab,
336024,Rajasthan Royals,
336025,Delhi Daredevils,
336025,Deccan Chargers,
336026,Mumbai Indians,
336026,Kolkata Knight Riders,
336027,Delhi Daredevils,
336027,Kings XI punjab,
336028,Rajasthan Royals,
336028,Royal Challengers Bangalore,
336029,Deccan Chargers,
336029,Mumbai Indians,
336030,Kolkata Knight Riders,
336030,Chennai Super Kings,
336031,Royal Challengers Bangalore,
336031,Delhi Daredevils,
336032,Kolkata Knight Riders,
336032,Rajasthan Royals,
336033,Mumbai Indians,
336033,Kings XI punjab,
336034,Chennai Super Kings,
336034,Royal Challengers Bangalore,
336036,Kings XI punjab,
336036,Deccan Chargers,
336037,Delhi Daredevils,
336037,Mumbai Indians,
336038,Chennai Super Kings,
336038,Rajasthan Royals,
336039,Royal Challengers Bangalore,
336039,Deccan Chargers,
336040,Kolkata Knight Riders,
336040,Kings XI punjab,
336041,Rajasthan Royals,
336041,Mumbai Indians,
336042,Deccan Chargers,
336042,Chennai Super Kings,
336043,Delhi Daredevils,
336043,Rajasthan Royals,
336044,Chennai Super Kings,
336044,Kings XI punjab,
336045,Chennai Super Kings,
336045,Rajasthan Royals,
